true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,4,0,0,0,1,0,21,0,0,0,0,0
Charlock,0,36,0,0,0,0,0,1,1,0,1,0
Cleavers,0,2,26,0,0,0,0,0,0,0,1,0
Common Chickweed,0,1,0,57,0,1,1,0,1,0,0,0
Common wheat,2,0,0,0,9,0,5,1,4,0,0,1
Fat Hen,0,1,0,1,0,39,0,1,3,0,0,3
Loose Silky-bent,2,0,0,0,0,0,61,1,1,0,0,0
Maize,0,1,0,0,0,0,0,18,2,0,0,1
Scentless Mayweed,0,0,0,2,0,0,0,0,50,0,0,0
Shepherds Purse,0,0,0,6,0,0,0,0,7,10,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,1,0,49,0
Sugar beet,0,0,0,0,0,1,0,0,1,0,0,36
