true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,16,0,0,0,1,0,9,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,2,27,0,0,0,0,0,0,0,0,0
Common Chickweed,0,1,0,59,0,0,1,0,0,0,0,0
Common wheat,3,0,0,0,15,1,1,1,1,0,0,0
Fat Hen,0,0,0,2,0,42,0,1,0,0,0,3
Loose Silky-bent,6,0,0,0,0,1,58,0,0,0,0,0
Maize,0,1,0,0,0,0,0,21,0,0,0,0
Scentless Mayweed,0,0,0,1,0,0,0,0,51,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,2,21,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,0,0,0,38
