true\pred,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,2,0,0,0,1,0,23,0,0,0,0,0
Charlock,0,37,0,0,0,0,0,1,0,0,1,0
Cleavers,0,2,27,0,0,0,0,0,0,0,0,0
Common Chickweed,0,1,0,59,0,0,1,0,0,0,0,0
Common wheat,2,0,0,0,13,0,4,2,1,0,0,0
Fat Hen,0,1,0,1,0,44,0,2,0,0,0,0
Loose Silky-bent,2,0,0,0,0,1,62,0,0,0,0,0
Maize,0,1,0,0,0,0,0,20,0,0,0,1
Scentless Mayweed,0,0,0,1,0,0,0,0,49,2,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,4,19,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,1,0,0,0,0,0,37
