epoch,train_loss,train_acc,val_acc,val_f1
1,1.4855827129248418,0.6323390151515151,0.8315789489997061,0.7778013802303531
2,0.9449203628482241,0.853219696969697,0.8800000010038677,0.8336378100270315
3,0.8710801456913804,0.8858901515151515,0.8989473691739535,0.8674622945712641
4,0.8442183498180273,0.8939393939393939,0.8968421060160586,0.8687323840357578
5,0.8335463892329823,0.8986742424242424,0.9094736853398775,0.8897361144731214
6,0.8319039886648004,0.8989109848484849,0.9073684221819828,0.8859505568509786
7,0.7862083839647698,0.9176136363636364,0.917894737845973,0.9043559995613145
8,0.7545750971996423,0.9375,0.917894737845973,0.9059258603796523
9,0.7319163210464247,0.9431818181818182,0.9347368428581639,0.9277026802013647
10,0.7133796937537916,0.9483901515151515,0.930526316416891,0.9189454294333981
11,0.7009718689051542,0.9545454545454546,0.9347368429836473,0.9312671348769213
12,0.6841971187880544,0.9651988636363636,0.9431578952387759,0.9377069608362993
13,0.6762908299763998,0.9663825757575758,0.9452631583966707,0.9381927947345923
14,0.6723809639612833,0.9675662878787878,0.9389473689229865,0.9326544177321426
15,0.6628395499605121,0.9682765151515151,0.9452631582711872,0.9357806545265138
16,0.65408855676651,0.974905303030303,0.93894736904847,0.9297348127847372
17,0.6525038390448599,0.9737215909090909,0.9452631585221541,0.9359597688893434
18,0.6477473414305485,0.9758522727272727,0.9410526322063647,0.9321642660658712
19,0.647585108424678,0.9746685606060606,0.9368421058905753,0.9285070588015607
20,0.6461254900152033,0.978219696969697,0.93894736904847,0.9303198050835566
