class,precision,recall,f1-score,support
Black-grass,0.5,0.15384615384615385,0.23529411764705882,26.0
Charlock,0.8780487804878049,0.9230769230769231,0.9,39.0
Cleavers,1.0,0.896551724137931,0.9454545454545454,29.0
Common Chickweed,0.8636363636363636,0.9344262295081968,0.8976377952755905,61.0
Common wheat,0.9,0.4090909090909091,0.5625000000000001,22.0
Fat Hen,0.9512195121951219,0.8125,0.8764044943820225,48.0
Loose Silky-bent,0.6931818181818182,0.9384615384615385,0.7973856209150327,65.0
Maize,0.8181818181818182,0.8181818181818182,0.8181818181818182,22.0
Scentless Mayweed,0.704225352112676,0.9615384615384616,0.8130081300813008,52.0
Shepherds Purse,1.0,0.43478260869565216,0.6060606060606061,23.0
Small-flowered Cranesbill,0.9607843137254902,0.98,0.9702970297029702,50.0
Sugar beet,0.8780487804878049,0.9473684210526315,0.9113924050632912,38.0
accuracy,0.8315789473684211,0.8315789473684211,0.8315789473684211,0.8315789473684211
macro avg,0.8456105615840749,0.7674853989658513,0.7778013802303531,475.0
weighted avg,0.8388755011425197,0.8315789473684211,0.8147953580206435,475.0
