,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,17,0,0,0,4,0,5,0,0,0,0,0
Charlock,0,37,2,0,0,0,0,0,0,0,0,0
Cleavers,0,3,25,0,0,0,0,0,0,1,0,0
Common Chickweed,1,0,0,54,0,0,0,0,2,1,2,1
Common wheat,1,0,1,0,16,1,0,3,0,0,0,0
Fat Hen,0,5,3,1,3,33,0,3,0,0,0,0
Loose Silky-bent,13,0,0,1,1,1,49,0,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,1,0
Scentless Mayweed,0,0,0,0,1,0,0,0,44,6,1,0
Shepherds Purse,0,0,0,1,0,1,0,0,6,14,1,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,2,0,0,48,0
Sugar beet,0,0,2,0,0,0,0,0,1,0,0,35
