,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,10,0,0,0,2,0,13,0,1,0,0,0
Charlock,0,37,2,0,0,0,0,0,0,0,0,0
Cleavers,0,3,25,0,0,0,0,0,1,0,0,0
Common Chickweed,0,0,0,56,1,0,0,0,1,0,2,1
Common wheat,1,0,1,0,13,4,1,2,0,0,0,0
Fat Hen,0,5,2,3,0,32,0,2,0,0,1,3
Loose Silky-bent,0,0,0,1,1,0,62,0,1,0,0,0
Maize,0,0,0,0,0,0,0,20,0,0,1,1
Scentless Mayweed,0,0,0,1,0,0,0,0,47,3,1,0
Shepherds Purse,0,0,0,2,0,0,0,0,6,14,1,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,1,0,0,0,0,0,2,0,0,35
