,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,0,0,0,1,0,10,0,1,0,0,0
Charlock,0,37,2,0,0,0,0,0,0,0,0,0
Cleavers,0,3,25,0,0,0,0,0,1,0,0,0
Common Chickweed,1,0,0,55,0,0,0,0,2,0,2,1
Common wheat,1,0,0,0,15,2,1,3,0,0,0,0
Fat Hen,0,5,3,1,0,35,0,3,0,0,0,1
Loose Silky-bent,2,0,0,1,1,0,61,0,0,0,0,0
Maize,0,0,0,0,0,0,0,20,0,0,1,1
Scentless Mayweed,0,1,0,0,0,0,0,0,49,2,0,0
Shepherds Purse,0,1,0,1,0,0,0,0,6,15,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,1,0,0,0,0,0,2,0,0,35
