,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,1,0,1,1,20,0,0,0,0,3
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,21,8,0,0,0,0,0,0,0,0,0
Common Chickweed,0,1,0,53,1,0,0,0,0,0,6,0
Common wheat,0,2,4,0,5,0,4,1,2,0,2,2
Fat Hen,0,5,3,8,1,2,0,2,5,0,8,14
Loose Silky-bent,0,0,2,0,0,2,49,0,4,0,0,8
Maize,0,1,0,2,0,0,0,12,0,0,6,1
Scentless Mayweed,0,17,0,2,0,0,0,2,13,0,10,8
Shepherds Purse,0,5,0,2,0,0,0,2,2,0,12,0
Small-flowered Cranesbill,0,10,0,3,0,0,0,2,0,0,35,0
Sugar beet,0,0,1,0,0,0,0,0,4,0,3,30
