,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,3,0,0,0,22,0,0,0,0,1
Charlock,0,38,1,0,0,0,0,0,0,0,0,0
Cleavers,0,19,10,0,0,0,0,0,0,0,0,0
Common Chickweed,0,1,1,32,0,0,0,17,0,0,10,0
Common wheat,0,4,5,0,0,0,9,0,1,0,3,0
Fat Hen,0,15,5,11,0,8,1,1,3,0,2,2
Loose Silky-bent,0,0,1,0,0,9,49,0,5,0,0,1
Maize,0,7,0,0,0,0,0,11,1,0,3,0
Scentless Mayweed,0,35,0,0,0,2,0,1,5,0,8,1
Shepherds Purse,0,19,0,0,0,0,0,0,0,0,4,0
Small-flowered Cranesbill,0,32,0,2,0,0,0,1,0,0,15,0
Sugar beet,0,7,7,0,0,2,0,0,7,0,2,13
