,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.7777777777777778,0.8181818181818182,0.8571428571428571,0.6987951807228916,0.7894736842105263,0.8823529411764706,0.7142857142857143,0.5384615384615384,0.55,0.5333333333333333,0.5737704918032787,0.9259259259259259,0.6863157894736842,0.7216251052518444,0.720739844122938
recall,0.2692307692307692,0.6923076923076923,0.6206896551724138,0.9508196721311475,0.6818181818181818,0.3125,0.9230769230769231,0.6363636363636364,0.8461538461538461,0.34782608695652173,0.7,0.6578947368421053,0.6863157894736842,0.6365567666711031,0.6863157894736842
f1-score,0.39999999999999997,0.7500000000000001,0.7200000000000001,0.8055555555555556,0.7317073170731707,0.46153846153846156,0.8053691275167787,0.5833333333333334,0.6666666666666667,0.4210526315789474,0.6306306306306306,0.7692307692307692,0.6863157894736842,0.6454237077603595,0.6699280012537936
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.6863157894736842,475.0,475.0
