,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,0,0,0,2,0,9,0,1,0,0,0
Charlock,0,35,4,0,0,0,0,0,0,0,0,0
Cleavers,0,10,19,0,0,0,0,0,0,0,0,0
Common Chickweed,1,1,0,54,0,0,0,0,1,0,1,3
Common wheat,2,0,3,0,12,0,1,0,4,0,0,0
Fat Hen,0,5,4,10,0,5,4,0,6,1,1,12
Loose Silky-bent,5,0,0,1,1,0,56,0,2,0,0,0
Maize,0,4,0,1,0,0,0,10,1,1,3,2
Scentless Mayweed,0,4,0,0,0,0,3,0,36,7,0,2
Shepherds Purse,0,4,0,1,0,0,0,0,6,9,2,1
Small-flowered Cranesbill,0,11,0,0,0,0,0,0,5,1,26,7
Sugar beet,0,0,1,0,0,0,0,0,2,0,0,35
