,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,17,0,0,0,3,0,6,0,0,0,0,0
Charlock,0,35,4,0,0,0,0,0,0,0,0,0
Cleavers,0,12,17,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,0,51,0,0,0,5,0,0,3,1
Common wheat,4,0,5,0,7,4,0,1,0,0,0,1
Fat Hen,1,4,7,4,1,13,0,3,1,0,3,11
Loose Silky-bent,20,0,0,0,1,2,40,0,0,0,1,1
Maize,0,1,0,3,0,1,0,13,0,0,4,0
Scentless Mayweed,1,10,3,3,0,4,5,2,10,1,8,5
Shepherds Purse,0,2,1,3,0,0,0,2,1,2,11,1
Small-flowered Cranesbill,0,10,0,4,0,0,0,3,1,0,31,1
Sugar beet,0,0,2,1,0,0,0,0,1,0,1,33
