,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,0,0,0,1,0,11,0,0,0,0,0
Charlock,0,36,3,0,0,0,0,0,0,0,0,0
Cleavers,0,3,25,0,0,0,0,0,0,1,0,0
Common Chickweed,1,0,0,54,0,0,0,0,2,2,2,0
Common wheat,1,0,0,0,16,4,0,1,0,0,0,0
Fat Hen,0,5,2,1,1,36,0,3,0,0,0,0
Loose Silky-bent,3,0,0,0,1,1,59,0,0,1,0,0
Maize,0,1,0,0,0,0,0,20,0,0,1,0
Scentless Mayweed,0,1,0,1,0,0,0,0,49,1,0,0
Shepherds Purse,0,1,0,1,0,0,0,0,6,15,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,2,0,0,48,0
Sugar beet,0,1,1,0,0,1,0,0,1,0,0,34
