,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,24,3,3,0,2,0,1,2,0,4,0
Cleavers,0,11,1,0,0,4,10,0,1,0,2,0
Common Chickweed,0,0,0,58,0,0,3,0,0,0,0,0
Common wheat,0,0,0,1,0,0,21,0,0,0,0,0
Fat Hen,0,0,0,13,0,5,29,0,0,0,1,0
Loose Silky-bent,0,0,0,1,0,0,64,0,0,0,0,0
Maize,0,0,0,18,0,0,0,4,0,0,0,0
Scentless Mayweed,0,1,0,27,0,0,15,4,1,0,4,0
Shepherds Purse,0,0,0,19,0,0,0,4,0,0,0,0
Small-flowered Cranesbill,0,0,0,43,0,0,0,5,0,0,2,0
Sugar beet,0,0,0,7,0,6,25,0,0,0,0,0
