,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,25,0,0,0,1,0,0,0,0,0,0,0
Charlock,0,29,10,0,0,0,0,0,0,0,0,0
Cleavers,0,9,17,0,3,0,0,0,0,0,0,0
Common Chickweed,2,1,0,51,0,1,0,0,0,0,4,2
Common wheat,12,0,1,0,6,1,0,0,1,0,0,1
Fat Hen,15,1,7,7,6,2,0,0,1,0,5,4
Loose Silky-bent,59,0,0,0,1,0,4,0,1,0,0,0
Maize,0,4,0,7,0,0,0,2,0,0,9,0
Scentless Mayweed,4,15,4,3,4,1,5,0,0,0,11,5
Shepherds Purse,0,7,0,3,0,0,0,0,0,0,12,1
Small-flowered Cranesbill,0,12,0,4,0,0,0,0,0,0,33,1
Sugar beet,4,0,2,2,4,5,2,0,1,0,1,17
