,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,0,0,0,1,0,11,0,0,0,0,0
Charlock,0,37,2,0,0,0,0,0,0,0,0,0
Cleavers,0,5,22,0,0,0,0,0,0,1,1,0
Common Chickweed,0,0,0,55,1,0,0,0,2,1,2,0
Common wheat,1,0,0,0,16,0,1,3,1,0,0,0
Fat Hen,0,4,1,3,2,31,0,4,1,0,0,2
Loose Silky-bent,3,0,0,1,1,0,60,0,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,1,0
Scentless Mayweed,0,0,0,0,0,0,0,0,49,2,1,0
Shepherds Purse,0,1,0,1,0,0,0,0,6,15,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,0,2,0,1,35
