,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,1,0,3,0,5,0,17,0,0,0,0,0
Charlock,0,38,1,0,0,0,0,0,0,0,0,0
Cleavers,0,17,12,0,0,0,0,0,0,0,0,0
Common Chickweed,0,2,0,49,0,0,0,0,4,1,4,1
Common wheat,0,0,7,0,10,0,0,2,3,0,0,0
Fat Hen,0,11,5,3,1,3,0,2,13,0,3,7
Loose Silky-bent,0,0,1,0,9,1,48,0,3,0,0,3
Maize,0,5,0,0,0,0,0,10,1,2,3,1
Scentless Mayweed,0,15,4,0,0,0,2,0,22,4,1,4
Shepherds Purse,0,9,1,0,0,0,0,0,4,4,5,0
Small-flowered Cranesbill,0,17,0,0,0,0,0,0,1,3,29,0
Sugar beet,0,1,1,0,0,0,0,0,1,0,1,34
