,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,1,0,0,0,1,0,24,0,0,0,0,0
Charlock,0,34,1,0,0,0,0,0,0,0,4,0
Cleavers,0,12,12,0,0,0,0,0,3,1,1,0
Common Chickweed,0,0,0,59,0,0,1,0,0,0,1,0
Common wheat,0,0,0,0,10,4,3,3,2,0,0,0
Fat Hen,0,1,0,11,0,17,0,2,5,1,9,2
Loose Silky-bent,0,0,0,1,0,1,61,0,2,0,0,0
Maize,0,1,0,2,0,0,0,11,0,0,7,1
Scentless Mayweed,0,1,0,1,0,0,3,0,40,6,1,0
Shepherds Purse,0,0,0,6,0,0,0,0,7,4,6,0
Small-flowered Cranesbill,0,0,0,7,0,0,0,1,4,1,37,0
Sugar beet,0,0,0,1,0,0,1,0,4,0,2,30
