,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,17,0,0,0,3,0,6,0,0,0,0,0
Charlock,0,38,1,0,0,0,0,0,0,0,0,0
Cleavers,0,6,22,0,0,0,0,0,0,1,0,0
Common Chickweed,1,0,0,53,0,0,0,0,3,2,2,0
Common wheat,1,0,1,0,17,2,0,1,0,0,0,0
Fat Hen,0,4,2,2,0,36,0,2,0,0,0,2
Loose Silky-bent,4,0,0,0,1,1,58,0,1,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,1,0
Scentless Mayweed,0,1,0,0,0,0,0,0,50,1,0,0
Shepherds Purse,0,0,0,0,0,1,0,0,7,15,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,2,0,0,48,0
Sugar beet,0,1,0,0,0,0,0,0,1,0,0,36
