,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,7,0,0,0,2,1,16,0,0,0,0,0
Charlock,0,34,5,0,0,0,0,0,0,0,0,0
Cleavers,0,8,19,0,1,0,0,0,1,0,0,0
Common Chickweed,0,0,0,57,0,0,1,0,1,1,0,1
Common wheat,1,0,0,0,17,0,0,4,0,0,0,0
Fat Hen,0,3,2,3,7,25,0,5,0,1,1,1
Loose Silky-bent,0,0,0,1,3,0,61,0,0,0,0,0
Maize,0,1,0,1,0,0,0,13,0,1,4,2
Scentless Mayweed,0,1,0,2,1,0,3,2,37,6,0,0
Shepherds Purse,0,0,0,6,0,0,0,0,6,11,0,0
Small-flowered Cranesbill,0,1,0,6,0,0,0,1,6,4,30,2
Sugar beet,0,0,2,0,1,0,0,1,0,0,0,34
