,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,8,0,0,0,3,1,14,0,0,0,0,0
Charlock,0,26,9,0,0,0,0,3,0,0,1,0
Cleavers,0,5,17,0,4,0,0,0,2,0,0,1
Common Chickweed,0,0,0,58,0,0,1,0,0,0,1,1
Common wheat,5,0,0,0,7,8,1,1,0,0,0,0
Fat Hen,0,3,0,2,0,29,1,4,3,1,2,3
Loose Silky-bent,3,0,0,1,0,4,57,0,0,0,0,0
Maize,0,0,0,3,0,0,0,16,0,0,3,0
Scentless Mayweed,0,1,1,1,0,6,3,3,27,7,3,0
Shepherds Purse,0,0,0,5,0,0,0,2,4,8,4,0
Small-flowered Cranesbill,0,0,0,6,0,0,0,9,2,4,29,0
Sugar beet,0,0,0,1,0,3,0,0,2,0,1,31
