,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,0,0,25,0,0,9,0,5,0,0,0
Cleavers,0,0,0,5,0,0,17,0,7,0,0,0
Common Chickweed,0,0,0,59,0,0,2,0,0,0,0,0
Common wheat,0,0,0,2,0,0,20,0,0,0,0,0
Fat Hen,0,0,0,22,0,0,26,0,0,0,0,0
Loose Silky-bent,0,0,0,2,0,0,63,0,0,0,0,0
Maize,0,0,0,22,0,0,0,0,0,0,0,0
Scentless Mayweed,0,0,0,37,0,0,14,0,1,0,0,0
Shepherds Purse,0,0,0,23,0,0,0,0,0,0,0,0
Small-flowered Cranesbill,0,0,0,50,0,0,0,0,0,0,0,0
Sugar beet,0,0,0,14,0,0,24,0,0,0,0,0
