,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,18,0,0,0,3,0,5,0,0,0,0,0
Charlock,0,37,2,0,0,0,0,0,0,0,0,0
Cleavers,0,9,19,0,0,0,0,0,0,0,0,1
Common Chickweed,1,0,0,50,0,2,0,0,1,0,2,5
Common wheat,2,0,1,0,12,6,0,1,0,0,0,0
Fat Hen,0,6,2,1,0,35,0,2,0,0,0,2
Loose Silky-bent,18,0,0,0,1,4,41,0,0,1,0,0
Maize,0,0,0,0,0,0,0,20,0,0,0,2
Scentless Mayweed,0,5,3,1,0,0,0,0,29,4,7,3
Shepherds Purse,0,2,0,1,0,0,0,1,3,1,11,4
Small-flowered Cranesbill,0,8,0,0,0,0,0,13,0,0,21,8
Sugar beet,0,1,1,0,0,0,0,0,1,0,0,35
