,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,20,0,1,0,2,0,3,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,15,14,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,0,54,0,0,0,0,2,0,1,3
Common wheat,1,0,5,0,9,3,0,1,2,0,0,1
Fat Hen,0,6,4,2,1,27,0,1,2,0,2,3
Loose Silky-bent,20,0,0,0,1,0,39,0,5,0,0,0
Maize,0,2,0,1,0,0,0,17,0,0,0,2
Scentless Mayweed,0,3,3,0,0,0,0,0,31,7,6,2
Shepherds Purse,0,0,0,2,0,0,0,1,5,9,6,0
Small-flowered Cranesbill,0,6,0,0,0,0,0,2,0,0,37,5
Sugar beet,0,1,1,0,0,0,0,0,1,0,0,35
