,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,17,0,0,0,2,1,6,0,0,0,0,0
Charlock,0,30,1,0,0,0,0,0,0,0,8,0
Cleavers,0,13,13,0,0,1,0,0,0,0,1,1
Common Chickweed,1,0,0,58,0,0,0,0,0,0,0,2
Common wheat,3,0,0,0,9,2,0,4,4,0,0,0
Fat Hen,0,1,1,9,0,18,0,2,4,1,7,5
Loose Silky-bent,16,0,0,1,2,4,38,0,4,0,0,0
Maize,0,1,0,2,0,0,0,11,0,0,7,1
Scentless Mayweed,0,1,0,2,0,0,0,0,33,6,9,1
Shepherds Purse,0,0,0,5,0,0,0,0,5,2,11,0
Small-flowered Cranesbill,0,0,0,2,0,0,0,1,0,0,47,0
Sugar beet,0,0,0,1,0,0,0,0,2,0,2,33
