,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.7777777777777778,0.7872340425531915,0.88,0.9166666666666666,0.7619047619047619,1.0,0.8333333333333334,0.7241379310344828,0.8032786885245902,0.7894736842105263,0.8909090909090909,0.9459459459459459,0.8505263157894737,0.8425551602383639,0.8581903357711888
recall,0.5384615384615384,0.9487179487179487,0.7586206896551724,0.9016393442622951,0.7272727272727273,0.6458333333333334,0.9230769230769231,0.9545454545454546,0.9423076923076923,0.6521739130434783,0.98,0.9210526315789473,0.8505263157894737,0.8244751830212925,0.8505263157894737
f1-score,0.6363636363636364,0.8604651162790696,0.8148148148148148,0.9090909090909091,0.7441860465116279,0.7848101265822784,0.8759124087591241,0.823529411764706,0.8672566371681416,0.7142857142857143,0.9333333333333333,0.9333333333333332,0.8505263157894737,0.8247817906905573,0.8461935827084912
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.8505263157894737,475.0,475.0
