,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,13,0,0,0,2,0,10,0,1,0,0,0
Charlock,0,37,2,0,0,0,0,0,0,0,0,0
Cleavers,0,8,20,0,0,0,0,0,1,0,0,0
Common Chickweed,0,0,0,54,1,0,0,0,2,1,2,1
Common wheat,1,0,1,0,15,2,0,3,0,0,0,0
Fat Hen,0,6,2,2,0,27,0,3,2,1,1,4
Loose Silky-bent,5,0,0,1,1,1,56,0,1,0,0,0
Maize,0,3,0,1,0,0,0,17,0,0,0,1
Scentless Mayweed,0,1,2,0,0,0,0,1,44,3,1,0
Shepherds Purse,0,1,0,1,0,0,0,0,6,14,1,0
Small-flowered Cranesbill,0,5,0,0,0,0,0,4,0,2,39,0
Sugar beet,0,0,2,0,0,0,0,0,1,0,0,35
