,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,9,0,0,0,1,0,16,0,0,0,0,0
Charlock,0,36,3,0,0,0,0,0,0,0,0,0
Cleavers,0,1,26,0,0,0,0,0,1,0,1,0
Common Chickweed,1,0,0,54,0,0,0,0,3,0,2,1
Common wheat,1,0,0,0,17,2,1,1,0,0,0,0
Fat Hen,0,5,1,1,1,37,0,1,1,0,0,1
Loose Silky-bent,0,0,0,1,1,0,63,0,0,0,0,0
Maize,0,0,0,0,0,0,0,20,0,0,1,1
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,1,0,0,0,0,0,0,8,14,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,1,0,0,0,0,0,2,0,0,35
