,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,9,0,1,0,8,0,8,0,0,0,0,0
Charlock,0,38,1,0,0,0,0,0,0,0,0,0
Cleavers,0,15,14,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,56,1,0,0,0,0,0,2,2
Common wheat,0,0,5,0,9,1,0,2,3,0,0,2
Fat Hen,0,6,3,9,0,11,0,1,6,0,4,8
Loose Silky-bent,7,0,0,0,9,4,41,0,0,0,1,3
Maize,0,4,0,2,0,0,0,12,0,0,3,1
Scentless Mayweed,0,15,1,2,0,2,0,2,12,0,8,10
Shepherds Purse,0,5,0,3,0,0,0,0,4,0,11,0
Small-flowered Cranesbill,0,11,0,5,0,0,0,5,0,0,28,1
Sugar beet,0,1,1,1,0,0,0,0,1,0,1,33
