,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,15,0,0,0,1,0,10,0,0,0,0,0
Charlock,0,36,2,0,0,0,0,0,1,0,0,0
Cleavers,0,2,25,0,0,0,0,0,2,0,0,0
Common Chickweed,1,0,0,56,0,0,0,0,2,1,1,0
Common wheat,1,0,0,0,16,1,1,3,0,0,0,0
Fat Hen,0,3,0,1,1,40,0,3,0,0,0,0
Loose Silky-bent,5,0,0,1,0,0,59,0,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,1,0
Scentless Mayweed,0,0,0,0,0,0,0,0,51,1,0,0
Shepherds Purse,0,0,0,1,0,0,0,0,6,16,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,1,0,0,0,1,0,1,35
