,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,4,0,0,0,1,0,20,0,1,0,0,0
Charlock,0,34,5,0,0,0,0,0,0,0,0,0
Cleavers,0,2,27,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,0,52,1,0,0,0,3,3,2,0
Common wheat,1,0,0,0,16,0,1,3,1,0,0,0
Fat Hen,0,4,3,2,0,27,0,2,6,2,0,2
Loose Silky-bent,0,0,0,1,1,0,63,0,0,0,0,0
Maize,0,4,0,0,0,0,0,12,0,0,5,1
Scentless Mayweed,0,2,0,0,1,0,0,0,49,0,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,9,14,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,0,4,2,44,0
Sugar beet,0,0,1,0,0,0,0,0,2,0,0,35
