,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.7272727272727273,0.76,0.8214285714285714,0.9636363636363636,0.8421052631578947,0.8809523809523809,0.8787878787878788,0.8333333333333334,0.8032786885245902,0.75,0.9423076923076923,1.0,0.8631578947368421,0.8502585749501193,0.8664311360225987
recall,0.6153846153846154,0.9743589743589743,0.7931034482758621,0.8688524590163934,0.7272727272727273,0.7708333333333334,0.8923076923076924,0.9090909090909091,0.9423076923076923,0.6521739130434783,0.98,0.9473684210526315,0.8631578947368421,0.8394211821203591,0.8631578947368421
f1-score,0.6666666666666667,0.853932584269663,0.8070175438596492,0.9137931034482758,0.7804878048780488,0.8222222222222222,0.8854961832061069,0.8695652173913043,0.8672566371681416,0.6976744186046512,0.9607843137254902,0.972972972972973,0.8631578947368421,0.8414891390344329,0.861605731972657
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.8631578947368421,475.0,475.0
