,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,17,0,0,0,3,1,5,0,0,0,0,0
Charlock,0,34,5,0,0,0,0,0,0,0,0,0
Cleavers,0,12,17,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,0,52,0,1,0,0,1,0,3,3
Common wheat,3,0,1,1,12,5,0,0,0,0,0,0
Fat Hen,0,3,4,1,3,28,0,3,0,0,4,2
Loose Silky-bent,15,0,0,1,2,2,44,0,0,0,0,1
Maize,0,1,0,1,0,1,0,12,0,0,5,2
Scentless Mayweed,0,6,3,1,0,1,8,1,15,0,11,6
Shepherds Purse,0,1,0,1,0,0,0,0,3,0,17,1
Small-flowered Cranesbill,0,4,0,0,0,0,0,3,0,0,36,7
Sugar beet,0,1,1,0,1,1,0,0,0,0,0,34
