class,precision,recall,f1-score,support
abies_concolor,1.0,0.9473684210526315,0.972972972972973,38.0
acer_negundo,1.0,1.0,1.0,35.0
acer_palmatum,1.0,1.0,1.0,32.0
acer_rubrum,1.0,0.9555555555555556,0.9772727272727273,45.0
acer_saccharinum,1.0,1.0,1.0,29.0
acer_saccharum,0.9333333333333333,1.0,0.9655172413793104,28.0
aesculus_pavi,0.9444444444444444,1.0,0.9714285714285714,34.0
asimina_triloba,1.0,0.9473684210526315,0.972972972972973,38.0
broussonettia_papyrifera,1.0,1.0,1.0,45.0
carpinus_caroliniana,0.8709677419354839,1.0,0.9310344827586207,27.0
carya_cordiformis,1.0,1.0,1.0,30.0
carya_glabra,1.0,0.8888888888888888,0.9411764705882353,27.0
catalpa_bignonioides,1.0,0.9090909090909091,0.9523809523809523,33.0
catalpa_speciosa,0.896551724137931,0.896551724137931,0.896551724137931,29.0
cercis_canadensis,1.0,0.9696969696969697,0.9846153846153847,33.0
chionanthus_virginicus,0.8421052631578947,0.9696969696969697,0.9014084507042254,33.0
cornus_florida,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
cryptomeria_japonica,1.0,1.0,1.0,32.0
diospyros_virginiana,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
eucommia_ulmoides,0.9666666666666667,1.0,0.983050847457627,29.0
fraxinus_nigra,0.967741935483871,0.967741935483871,0.967741935483871,31.0
gleditsia_triacanthos,1.0,1.0,1.0,30.0
ilex_opaca,1.0,1.0,1.0,37.0
juglans_cinerea,0.9166666666666666,1.0,0.9565217391304348,33.0
koelreuteria_paniculata,1.0,1.0,1.0,30.0
liriodendron_tulipifera,1.0,1.0,1.0,36.0
maclura_pomifera,1.0,0.9264705882352942,0.9618320610687023,68.0
magnolia_denudata,0.7297297297297297,1.0,0.8437499999999999,27.0
magnolia_virginiana,1.0,0.9259259259259259,0.9615384615384615,27.0
ostrya_virginiana,0.90625,0.90625,0.90625,32.0
pinus_bungeana,0.7647058823529411,0.9629629629629629,0.8524590163934426,27.0
pinus_cembra,0.95,0.7037037037037037,0.8085106382978724,27.0
platanus_occidentalis,1.0,1.0,1.0,29.0
prunus_sargentii,0.8157894736842105,0.7045454545454546,0.7560975609756098,44.0
prunus_virginiana,0.9777777777777777,0.9565217391304348,0.967032967032967,46.0
ptelea_trifoliata,0.9534883720930233,1.0,0.9761904761904763,41.0
quercus_alba,1.0,1.0,1.0,27.0
quercus_marilandica,1.0,1.0,1.0,27.0
quercus_montana,1.0,1.0,1.0,38.0
quercus_muehlenbergii,0.6904761904761905,0.8529411764705882,0.7631578947368423,34.0
salix_nigra,0.9375,1.0,0.967741935483871,30.0
staphylea_trifolia,1.0,1.0,1.0,32.0
styrax_japonica,1.0,0.7714285714285715,0.870967741935484,35.0
taxodium_distichum,1.0,1.0,1.0,27.0
tilia_cordata,1.0,0.9666666666666667,0.983050847457627,30.0
tsuga_canadensis,0.9354838709677419,1.0,0.9666666666666666,29.0
ulmus_americana,0.8888888888888888,0.9696969696969697,0.927536231884058,33.0
ulmus_pumila,0.9512195121951219,0.975,0.9629629629629629,40.0
ulmus_rubra,1.0,0.8333333333333334,0.9090909090909091,48.0
zelkova_serrata,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
accuracy,0.9519287833827893,0.9519287833827893,0.9519287833827893,0.9519287833827893
macro avg,0.9540472114681424,0.9547117690355988,0.9520909505381315,1685.0
weighted avg,0.9566017681985352,0.9519287833827893,0.9520895239369466,1685.0
