class,precision,recall,f1-score,support
abies_concolor,1.0,0.9736842105263158,0.9866666666666666,38.0
acer_negundo,1.0,1.0,1.0,35.0
acer_palmatum,1.0,1.0,1.0,32.0
acer_rubrum,1.0,0.9777777777777777,0.9887640449438202,45.0
acer_saccharinum,1.0,1.0,1.0,29.0
acer_saccharum,0.9655172413793104,1.0,0.9824561403508771,28.0
aesculus_pavi,1.0,1.0,1.0,34.0
asimina_triloba,0.9743589743589743,1.0,0.9870129870129869,38.0
broussonettia_papyrifera,1.0,1.0,1.0,45.0
carpinus_caroliniana,0.9310344827586207,1.0,0.9642857142857143,27.0
carya_cordiformis,1.0,0.9333333333333333,0.9655172413793104,30.0
carya_glabra,0.9310344827586207,1.0,0.9642857142857143,27.0
catalpa_bignonioides,1.0,0.9696969696969697,0.9846153846153847,33.0
catalpa_speciosa,0.9666666666666667,1.0,0.983050847457627,29.0
cercis_canadensis,1.0,1.0,1.0,33.0
chionanthus_virginicus,0.868421052631579,1.0,0.9295774647887324,33.0
cornus_florida,1.0,0.9629629629629629,0.9811320754716981,27.0
cryptomeria_japonica,1.0,1.0,1.0,32.0
diospyros_virginiana,1.0,0.9473684210526315,0.972972972972973,38.0
eucommia_ulmoides,1.0,0.9655172413793104,0.9824561403508771,29.0
fraxinus_nigra,0.9090909090909091,0.967741935483871,0.9374999999999999,31.0
gleditsia_triacanthos,1.0,1.0,1.0,30.0
ilex_opaca,1.0,1.0,1.0,37.0
juglans_cinerea,0.967741935483871,0.9090909090909091,0.9374999999999999,33.0
koelreuteria_paniculata,1.0,1.0,1.0,30.0
liriodendron_tulipifera,1.0,1.0,1.0,36.0
maclura_pomifera,1.0,0.9558823529411765,0.9774436090225563,68.0
magnolia_denudata,1.0,1.0,1.0,27.0
magnolia_virginiana,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
ostrya_virginiana,1.0,0.84375,0.9152542372881356,32.0
pinus_bungeana,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
pinus_cembra,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
platanus_occidentalis,1.0,1.0,1.0,29.0
prunus_sargentii,0.8571428571428571,0.8181818181818182,0.8372093023255814,44.0
prunus_virginiana,0.9565217391304348,0.9565217391304348,0.9565217391304348,46.0
ptelea_trifoliata,1.0,1.0,1.0,41.0
quercus_alba,1.0,1.0,1.0,27.0
quercus_marilandica,1.0,1.0,1.0,27.0
quercus_montana,1.0,1.0,1.0,38.0
quercus_muehlenbergii,0.7777777777777778,0.8235294117647058,0.7999999999999999,34.0
salix_nigra,0.8571428571428571,1.0,0.923076923076923,30.0
staphylea_trifolia,1.0,1.0,1.0,32.0
styrax_japonica,0.96875,0.8857142857142857,0.9253731343283582,35.0
taxodium_distichum,1.0,1.0,1.0,27.0
tilia_cordata,1.0,1.0,1.0,30.0
tsuga_canadensis,1.0,1.0,1.0,29.0
ulmus_americana,0.9142857142857143,0.9696969696969697,0.9411764705882354,33.0
ulmus_pumila,1.0,0.975,0.9873417721518987,40.0
ulmus_rubra,0.9795918367346939,1.0,0.9896907216494846,48.0
zelkova_serrata,0.9655172413793104,1.0,0.9824561403508771,28.0
accuracy,0.9727002967359051,0.9727002967359051,0.9727002967359051,0.9727002967359051
macro avg,0.9735896931522217,0.9744867845524473,0.973444526667675,1685.0
weighted avg,0.9739763212715247,0.9727002967359051,0.9727654783262849,1685.0
