epoch,loss,acc,f1
1,1.1611339364733015,0.7288135593220338,0.9113392833121996
2,0.2712795366438068,0.9189851828163309,0.9520909505381315
3,0.18686917104891368,0.9397718793305617,0.968730631064389
4,0.1513540998709445,0.948512951710905,0.9652938575773375
5,0.12154622898012603,0.9578936147532247,0.973444526667675
6,0.10920258773630168,0.9630103400490353,0.9612919307275318
7,0.1006387516247983,0.9667412855772306,0.963370731709663
8,0.10783215878265244,0.9610915680631062,0.9773325076409874
9,0.09001802656875581,0.9680204669011833,0.9733950415858863
10,0.08445155525542035,0.9695128451124614,0.9710193005660122
11,0.06455904373354247,0.9766549408378637,0.9688439449386079
12,0.08455322914104275,0.9695128451124614,0.9792212682458414
13,0.07846582891280149,0.968873254450485,0.9697343751572436
14,0.08318698985286715,0.9718580108730412,0.9740732976929123
15,0.061393224944671,0.9765483423942011,0.9772543026761835
16,0.05680742406216609,0.9768681377251892,0.9754058114769344
17,0.06155371845883577,0.9775077283871656,0.9781763952907139
18,0.058419935569978085,0.9774011299435028,0.9721810360835886
19,0.0737208641153209,0.9736701844153075,0.9688850527464362
20,0.05903974305965057,0.9770813346125147,0.9677525272964321
