,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.36231884057971014,0.8666666666666667,0.9629629629629629,0.9661016949152542,0.8571428571428571,0.8727272727272727,1.0,0.88,0.9791666666666666,1.0,1.0,0.9230769230769231,0.8526315789473684,0.8891803237281929,0.914063286026254
recall,0.9615384615384616,1.0,0.896551724137931,0.9344262295081968,0.8181818181818182,1.0,0.3076923076923077,1.0,0.9038461538461539,0.782608695652174,0.98,0.9473684210526315,0.8526315789473684,0.8776844843008064,0.8526315789473684
f1-score,0.5263157894736843,0.9285714285714286,0.9285714285714286,0.95,0.8372093023255814,0.9320388349514563,0.47058823529411764,0.9361702127659575,0.9400000000000001,0.878048780487805,0.98989898989899,0.935064935064935,0.8526315789473684,0.8543731614504487,0.8488843270560229
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.8526315789473684,475.0,475.0
