,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,25,0,0,0,1,0,0,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,3,26,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,0,57,0,2,0,0,0,0,0,1
Common wheat,1,0,0,0,18,1,0,2,0,0,0,0
Fat Hen,0,0,0,0,0,48,0,0,0,0,0,0
Loose Silky-bent,42,0,0,0,1,2,20,0,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,1,1,1,0,0,0,0,47,0,0,2
Shepherds Purse,0,2,0,1,0,1,0,0,1,18,0,0
Small-flowered Cranesbill,0,0,0,0,0,1,0,0,0,0,49,0
Sugar beet,0,0,0,0,1,0,0,1,0,0,0,36
