,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,0,0,0,8,0,4,0,0,0,0,0
Charlock,0,38,1,0,0,0,0,0,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,1,56,1,0,0,0,0,2,0,0
Common wheat,0,0,0,0,22,0,0,0,0,0,0,0
Fat Hen,0,0,2,0,1,45,0,0,0,0,0,0
Loose Silky-bent,12,0,0,0,5,0,48,0,0,0,0,0
Maize,0,0,1,0,0,0,0,21,0,0,0,0
Scentless Mayweed,0,0,2,0,0,0,0,0,49,0,1,0
Shepherds Purse,0,0,1,0,0,0,0,0,1,21,0,0
Small-flowered Cranesbill,0,0,2,0,0,0,0,0,0,0,48,0
Sugar beet,0,1,1,0,1,0,0,0,0,0,0,35
