,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,25,0,0,0,1,0,0,0,0,0,0,0
Charlock,0,37,2,0,0,0,0,0,0,0,0,0
Cleavers,0,0,28,0,0,0,0,1,0,0,0,0
Common Chickweed,1,0,0,48,0,0,0,1,0,8,0,3
Common wheat,2,0,2,0,12,0,0,6,0,0,0,0
Fat Hen,0,1,1,0,0,36,0,4,0,0,1,5
Loose Silky-bent,50,0,0,0,0,0,15,0,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,0,1
Scentless Mayweed,0,0,5,0,0,0,0,0,31,16,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,1,21,1,0
Small-flowered Cranesbill,0,1,0,0,0,0,0,1,0,0,48,0
Sugar beet,0,1,0,0,0,0,0,2,0,0,0,35
