,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.7916666666666666,1.0,0.9354838709677419,0.967741935483871,1.0,1.0,0.8840579710144928,0.9166666666666666,0.9811320754716981,1.0,1.0,1.0,0.9578947368421052,0.9563957655225948,0.9587240555011599
recall,0.7307692307692307,0.9743589743589743,1.0,0.9836065573770492,0.9090909090909091,0.9583333333333334,0.9384615384615385,1.0,1.0,0.9130434782608695,0.98,1.0,0.9578947368421052,0.9489720018043254,0.9578947368421052
f1-score,0.76,0.9870129870129869,0.9666666666666666,0.975609756097561,0.9523809523809523,0.9787234042553191,0.9104477611940298,0.9565217391304348,0.9904761904761905,0.9545454545454545,0.98989898989899,1.0,0.9578947368421052,0.9518569918048821,0.9576989029435066
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.9578947368421052,475.0,475.0
