,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,14,0,0,0,0,0,12,0,0,0,0,0
Charlock,0,36,1,0,0,0,0,0,2,0,0,0
Cleavers,0,0,27,0,0,0,0,0,1,0,1,0
Common Chickweed,1,0,0,59,0,0,0,0,1,0,0,0
Common wheat,2,0,0,0,16,1,0,3,0,0,0,0
Fat Hen,0,0,0,1,2,44,0,1,0,0,0,0
Loose Silky-bent,4,0,0,0,0,0,60,1,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,0,1
Scentless Mayweed,0,0,0,0,0,0,0,0,52,0,0,0
Shepherds Purse,0,0,0,3,0,0,0,0,3,17,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,1,1,0,0,36
