,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,17,0,0,0,2,0,5,0,2,0,0,0
Charlock,0,18,20,0,0,0,0,0,0,1,0,0
Cleavers,0,0,28,0,0,0,0,0,0,1,0,0
Common Chickweed,1,0,0,40,0,0,0,0,9,11,0,0
Common wheat,1,0,4,0,13,0,0,0,4,0,0,0
Fat Hen,0,0,9,3,1,12,0,0,3,4,0,16
Loose Silky-bent,8,0,0,0,0,0,38,0,19,0,0,0
Maize,0,0,8,0,0,0,0,8,0,0,0,6
Scentless Mayweed,0,1,3,0,0,0,0,0,46,2,0,0
Shepherds Purse,0,0,1,0,0,0,0,0,3,19,0,0
Small-flowered Cranesbill,0,0,3,0,0,0,0,0,0,0,47,0
Sugar beet,0,0,2,0,0,0,0,0,2,0,0,34
