,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,1,0,0,21,0,4,0,0,0
Charlock,0,9,0,0,0,0,0,2,27,1,0,0
Cleavers,0,1,0,0,0,0,0,0,28,0,0,0
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,0,0,1,0,1,0,7,0,13,0,0,0
Fat Hen,0,0,0,21,0,1,0,0,26,0,0,0
Loose Silky-bent,0,0,0,0,0,0,54,1,10,0,0,0
Maize,0,0,0,4,0,0,0,13,5,0,0,0
Scentless Mayweed,0,0,0,3,0,1,0,1,47,0,0,0
Shepherds Purse,0,0,0,12,0,0,0,0,11,0,0,0
Small-flowered Cranesbill,0,0,0,22,0,0,0,1,25,1,1,0
Sugar beet,0,0,0,14,0,0,0,0,15,0,0,9
