,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,0,0,0,0,0,0,26,0,0,0,0,0
Charlock,0,30,0,0,0,0,0,0,1,5,3,0
Cleavers,0,0,9,0,0,0,1,0,4,5,10,0
Common Chickweed,1,0,0,59,0,0,0,0,0,1,0,0
Common wheat,2,0,0,0,4,0,16,0,0,0,0,0
Fat Hen,0,1,0,2,0,26,15,1,0,0,3,0
Loose Silky-bent,0,0,0,0,0,0,64,1,0,0,0,0
Maize,0,0,0,1,0,0,0,20,0,0,1,0
Scentless Mayweed,0,0,0,2,0,0,1,0,43,4,2,0
Shepherds Purse,0,0,0,0,0,0,0,0,1,22,0,0
Small-flowered Cranesbill,0,0,0,1,0,0,0,1,0,0,48,0
Sugar beet,0,0,0,1,1,5,9,0,0,2,0,20
