,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.4,0.5,0.75,0.6901408450704225,1.0,0.625,0.6551724137931034,0.3392857142857143,0.7419354838709677,0.5333333333333333,0.9,0.47368421052631576,0.5936842105263158,0.6340460000733215,0.6518871494486109
recall,0.07692307692307693,0.9487179487179487,0.20689655172413793,0.8032786885245902,0.18181818181818182,0.10416666666666667,0.8769230769230769,0.8636363636363636,0.4423076923076923,0.34782608695652173,0.72,0.9473684210526315,0.5936842105263158,0.5433218962709073,0.5936842105263158
f1-score,0.12903225806451613,0.6548672566371682,0.32432432432432434,0.7424242424242424,0.3076923076923077,0.1785714285714286,0.75,0.48717948717948717,0.5542168674698795,0.4210526315789474,0.7999999999999999,0.631578947368421,0.5936842105263158,0.49841164594256027,0.5492632454845658
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.5936842105263158,475.0,475.0
