,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.32051282051282054,0.925,0.7368421052631579,1.0,0.9230769230769231,1.0,1.0,0.5833333333333334,0.96875,0.4666666666666667,0.96,0.7954545454545454,0.751578947368421,0.8066363661922872,0.8679018654475719
recall,0.9615384615384616,0.9487179487179487,0.9655172413793104,0.7868852459016393,0.5454545454545454,0.75,0.23076923076923078,0.9545454545454546,0.5961538461538461,0.9130434782608695,0.96,0.9210526315789473,0.751578947368421,0.7944731736916877,0.751578947368421
f1-score,0.4807692307692308,0.9367088607594937,0.835820895522388,0.8807339449541284,0.6857142857142856,0.8571428571428571,0.375,0.7241379310344828,0.738095238095238,0.6176470588235294,0.96,0.8536585365853658,0.751578947368421,0.7454524032834166,0.7506435520367134
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.751578947368421,475.0,475.0
