,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,2,0,0,0,0,0,24,0,0,0,0,0
Charlock,0,7,1,1,0,0,4,0,11,0,15,0
Cleavers,0,1,0,0,0,0,11,0,10,0,7,0
Common Chickweed,0,1,0,40,0,0,10,0,6,0,4,0
Common wheat,0,0,0,0,0,0,18,0,4,0,0,0
Fat Hen,0,1,0,3,0,0,29,0,9,0,6,0
Loose Silky-bent,1,0,0,0,0,0,62,0,2,0,0,0
Maize,0,1,0,5,0,0,3,2,6,0,5,0
Scentless Mayweed,0,0,0,9,0,0,7,0,29,0,7,0
Shepherds Purse,0,0,0,8,0,0,1,0,8,0,6,0
Small-flowered Cranesbill,0,3,0,20,0,0,2,0,15,0,10,0
Sugar beet,1,0,0,5,0,0,19,0,8,0,5,0
