,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,9,0,0,0,0,2,15,0,0,0,0,0
Charlock,0,35,2,0,0,0,0,0,2,0,0,0
Cleavers,0,1,25,0,0,0,0,0,1,1,1,0
Common Chickweed,1,0,0,59,0,0,0,0,0,0,1,0
Common wheat,1,0,0,1,14,6,0,0,0,0,0,0
Fat Hen,0,2,1,7,1,36,0,1,0,0,0,0
Loose Silky-bent,1,0,0,0,0,11,52,1,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,1,2,0,2,0,0,46,0,0,1
Shepherds Purse,0,0,0,4,0,0,0,2,6,11,0,0
Small-flowered Cranesbill,0,1,0,1,0,0,0,0,0,0,48,0
Sugar beet,0,0,1,1,0,1,0,0,0,0,0,35
