,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,19,0,0,0,0,0,7,0,0,0,0,0
Charlock,0,33,0,0,0,0,0,0,0,6,0,0
Cleavers,0,1,13,0,0,0,0,0,2,9,4,0
Common Chickweed,1,0,0,36,0,0,0,0,4,20,0,0
Common wheat,4,0,0,0,12,1,0,3,2,0,0,0
Fat Hen,0,2,0,8,0,36,0,1,1,0,0,0
Loose Silky-bent,18,0,0,0,0,0,44,1,2,0,0,0
Maize,0,0,0,0,0,0,0,20,0,1,0,1
Scentless Mayweed,0,0,0,0,0,0,0,0,49,3,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,1,22,0,0
Small-flowered Cranesbill,0,1,0,0,0,0,0,1,0,9,39,0
Sugar beet,0,0,0,1,0,0,0,1,0,0,0,36
