,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,22,0,0,0,0,0,4,0,0,0,0,0
Charlock,0,38,0,0,0,0,0,1,0,0,0,0
Cleavers,0,1,28,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,0,58,0,0,0,0,0,2,0,0
Common wheat,1,0,0,0,19,0,0,0,0,0,0,2
Fat Hen,0,0,1,3,1,43,0,0,0,0,0,0
Loose Silky-bent,15,0,0,0,0,0,49,1,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,0,1
Scentless Mayweed,0,1,1,0,0,0,0,0,50,0,0,0
Shepherds Purse,0,1,0,1,0,0,0,0,1,20,0,0
Small-flowered Cranesbill,0,1,0,0,0,0,0,1,0,0,48,0
Sugar beet,0,0,1,0,0,0,0,1,0,0,0,36
