,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,17,0,0,0,1,0,8,0,0,0,0,0
Charlock,0,36,0,0,0,3,0,0,0,0,0,0
Cleavers,0,4,13,0,0,9,0,2,0,0,0,1
Common Chickweed,1,0,0,56,0,1,0,0,0,2,0,1
Common wheat,1,0,0,0,14,0,0,4,0,0,0,3
Fat Hen,0,0,0,0,1,45,0,2,0,0,0,0
Loose Silky-bent,10,0,0,0,1,1,52,1,0,0,0,0
Maize,0,0,0,0,0,0,0,22,0,0,0,0
Scentless Mayweed,0,0,0,2,0,0,0,2,41,0,0,7
Shepherds Purse,0,0,0,2,0,2,0,0,1,16,0,2
Small-flowered Cranesbill,0,3,0,0,0,5,0,1,0,0,41,0
Sugar beet,0,0,0,0,0,0,0,2,0,0,0,36
