,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.4186046511627907,0.4788732394366197,1.0,1.0,0.6666666666666666,1.0,0.9069767441860465,0.6111111111111112,0.75,0.8,0.9629629629629629,0.5217391304347826,0.6968421052631579,0.759744542163415,0.7999970775918627
recall,0.6923076923076923,0.8717948717948718,0.6206896551724138,0.4426229508196721,1.0,0.6041666666666666,0.6,1.0,0.9230769230769231,0.5217391304347826,0.52,0.9473684210526315,0.6968421052631579,0.7286471926104712,0.6968421052631579
f1-score,0.5217391304347826,0.6181818181818182,0.7659574468085107,0.6136363636363636,0.8,0.7532467532467533,0.7222222222222222,0.7586206896551725,0.8275862068965517,0.6315789473684211,0.6753246753246753,0.6728971962616822,0.6968421052631579,0.6967492875030795,0.6981178147044942
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.6968421052631579,475.0,475.0
