,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,18,0,0,0,0,0,8,0,0,0,0,0
Charlock,0,35,0,0,0,2,0,0,0,1,1,0
Cleavers,0,0,26,0,0,0,0,0,0,1,2,0
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,2,0,0,0,18,0,0,2,0,0,0,0
Fat Hen,0,0,0,0,0,48,0,0,0,0,0,0
Loose Silky-bent,4,0,0,0,0,0,60,1,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,0,1
Scentless Mayweed,0,0,0,0,0,0,0,0,51,1,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,1,22,0,0
Small-flowered Cranesbill,0,0,0,0,0,1,0,0,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,2,0,0,0,36
