,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,18,0,0,0,5,0,3,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,2,24,0,0,1,0,0,0,2,0,0
Common Chickweed,1,0,0,59,0,0,0,0,0,1,0,0
Common wheat,0,0,0,0,21,0,0,1,0,0,0,0
Fat Hen,0,0,0,1,1,45,0,1,0,0,0,0
Loose Silky-bent,29,0,0,0,1,1,34,0,0,0,0,0
Maize,0,0,0,0,0,0,0,21,0,0,0,1
Scentless Mayweed,0,0,1,2,0,0,0,0,45,4,0,0
Shepherds Purse,0,0,0,0,0,0,0,0,1,22,0,0
Small-flowered Cranesbill,0,0,0,0,0,0,0,1,0,0,49,0
Sugar beet,0,0,0,0,0,0,0,2,0,0,0,36
