,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.75,1.0,1.0,1.0,1.0,0.9411764705882353,0.8695652173913043,0.8076923076923077,0.9807692307692307,0.88,0.9423076923076923,0.972972972972973,0.9347368421052632,0.9287069909768121,0.9374648380552809
recall,0.6923076923076923,0.8974358974358975,0.896551724137931,0.9836065573770492,0.8181818181818182,1.0,0.9230769230769231,0.9545454545454546,0.9807692307692307,0.9565217391304348,0.98,0.9473684210526315,0.9347368421052632,0.9191971215012553,0.9347368421052632
f1-score,0.7199999999999999,0.945945945945946,0.9454545454545454,0.9917355371900827,0.9,0.9696969696969697,0.8955223880597014,0.875,0.9807692307692307,0.9166666666666666,0.9607843137254902,0.9599999999999999,0.9347368421052632,0.9217979664590525,0.9345955795107617
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.9347368421052632,475.0,475.0
