,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,9,0,3,0,1,0,13,0,0,0,0,0
Charlock,0,23,15,0,0,0,0,1,0,0,0,0
Cleavers,0,7,22,0,0,0,0,0,0,0,0,0
Common Chickweed,1,4,3,0,0,0,1,19,29,4,0,0
Common wheat,8,1,8,0,0,0,1,0,4,0,0,0
Fat Hen,2,6,15,0,3,1,6,1,13,1,0,0
Loose Silky-bent,8,0,6,0,3,0,47,0,1,0,0,0
Maize,0,4,1,0,0,0,0,14,2,0,1,0
Scentless Mayweed,2,14,7,0,1,0,0,6,18,0,0,4
Shepherds Purse,0,6,1,0,0,0,0,5,8,3,0,0
Small-flowered Cranesbill,0,10,4,0,0,0,0,5,6,0,25,0
Sugar beet,14,2,10,0,3,0,0,0,2,0,0,7
