,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,17,0,0,0,0,0,9,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,27,0,0,0,0,0,0,0,1,1
Common Chickweed,0,0,0,60,0,0,1,0,0,0,0,0
Common wheat,2,0,0,0,20,0,0,0,0,0,0,0
Fat Hen,0,0,1,1,0,46,0,0,0,0,0,0
Loose Silky-bent,2,0,0,0,0,0,62,1,0,0,0,0
Maize,0,0,0,0,0,0,0,20,0,0,0,2
Scentless Mayweed,0,0,0,1,0,0,0,0,51,0,0,0
Shepherds Purse,0,0,0,3,0,0,0,0,3,16,0,1
Small-flowered Cranesbill,0,0,0,0,0,1,0,0,0,0,49,0
Sugar beet,0,0,1,0,0,0,0,0,0,0,0,37
