,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet,accuracy,macro avg,weighted avg
precision,0.2839506172839506,1.0,0.0,0.24390243902439024,1.0,0.3888888888888889,0.8571428571428571,0.2345679012345679,0.0,0.0,0.1111111111111111,0.85,0.30526315789473685,0.41413031789048044,0.42243740335481883
recall,0.8846153846153846,0.05128205128205128,0.0,0.9836065573770492,0.18181818181818182,0.14583333333333334,0.18461538461538463,0.8636363636363636,0.0,0.0,0.02,0.4473684210526316,0.30526315789473685,0.31356463981086496,0.30526315789473685
f1-score,0.42990654205607476,0.09756097560975609,0.0,0.39087947882736157,0.3076923076923077,0.21212121212121213,0.3037974683544304,0.3689320388349514,0.0,0.0,0.03389830508474577,0.5862068965517242,0.30526315789473685,0.22758293542771368,0.2265500272049814
support,26.0,39.0,29.0,61.0,22.0,48.0,65.0,22.0,52.0,23.0,50.0,38.0,0.30526315789473685,475.0,475.0
