,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,23,0,0,1,0,0,2,0,0,0,0,0
Charlock,0,2,0,4,0,0,0,30,0,0,2,1
Cleavers,0,0,0,7,0,1,0,16,0,0,5,0
Common Chickweed,1,0,0,60,0,0,0,0,0,0,0,0
Common wheat,5,0,0,8,4,5,0,0,0,0,0,0
Fat Hen,0,0,0,37,0,7,0,1,0,0,1,2
Loose Silky-bent,46,0,0,5,0,2,12,0,0,0,0,0
Maize,0,0,0,3,0,0,0,19,0,0,0,0
Scentless Mayweed,6,0,0,38,0,3,0,5,0,0,0,0
Shepherds Purse,0,0,0,21,0,0,0,2,0,0,0,0
Small-flowered Cranesbill,0,0,0,42,0,0,0,7,0,0,1,0
Sugar beet,0,0,0,20,0,0,0,1,0,0,0,17
