,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,20,0,0,0,2,0,4,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,2,27,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,0,60,0,0,0,0,0,0,0,0
Common wheat,0,0,0,0,22,0,0,0,0,0,0,0
Fat Hen,0,1,2,1,1,43,0,0,0,0,0,0
Loose Silky-bent,14,0,0,0,2,0,49,0,0,0,0,0
Maize,0,0,1,0,0,0,0,20,0,0,0,1
Scentless Mayweed,0,0,2,0,0,0,0,0,50,0,0,0
Shepherds Purse,0,1,0,0,0,0,0,0,2,20,0,0
Small-flowered Cranesbill,0,1,1,0,1,0,0,0,0,0,47,0
Sugar beet,0,1,1,0,1,0,0,0,0,0,0,35
