,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,20,0,0,0,0,0,6,0,0,0,0,0
Charlock,0,39,0,0,0,0,0,0,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,0,0,1,57,0,0,1,0,1,1,0,0
Common wheat,1,0,0,0,20,0,0,1,0,0,0,0
Fat Hen,0,0,1,1,1,45,0,0,0,0,0,0
Loose Silky-bent,3,0,0,0,0,0,61,1,0,0,0,0
Maize,0,1,0,0,0,0,0,20,0,0,0,1
Scentless Mayweed,0,0,1,0,0,0,0,0,50,0,1,0
Shepherds Purse,0,0,0,0,0,0,0,0,1,22,0,0
Small-flowered Cranesbill,0,0,2,0,0,1,0,0,0,0,47,0
Sugar beet,0,0,1,0,1,0,0,0,0,0,0,36
