,Black-grass,Charlock,Cleavers,Common Chickweed,Common wheat,Fat Hen,Loose Silky-bent,Maize,Scentless Mayweed,Shepherds Purse,Small-flowered Cranesbill,Sugar beet
Black-grass,16,0,0,0,1,0,9,0,0,0,0,0
Charlock,0,9,30,0,0,0,0,0,0,0,0,0
Cleavers,0,0,29,0,0,0,0,0,0,0,0,0
Common Chickweed,1,0,1,57,0,0,0,0,0,2,0,0
Common wheat,4,0,0,0,13,1,0,4,0,0,0,0
Fat Hen,0,2,3,1,3,31,0,2,0,0,0,6
Loose Silky-bent,30,0,0,0,0,0,34,0,0,0,0,1
Maize,0,0,0,0,0,0,0,21,0,0,0,1
Scentless Mayweed,5,0,2,6,3,0,0,1,24,2,0,9
Shepherds Purse,0,0,1,5,0,0,0,0,1,13,0,3
Small-flowered Cranesbill,0,1,16,0,0,0,0,1,0,0,29,3
Sugar beet,0,0,0,0,0,0,0,2,0,0,0,36
